"condition","identifiable.thanks.sent","reciprocal.thanks.sent","nonreciprocal.thanks.sent","lang"
1,1,0,1,"ar"
1,2,0,2,"ar"
0,18,0,18,"ar"
1,1,0,1,"ar"
1,19,0,19,"ar"
1,1,0,1,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
0,2,0,2,"ar"
0,2,0,2,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
1,6,0,6,"ar"
0,1,0,1,"ar"
1,1,0,1,"ar"
0,2,0,2,"ar"
0,1,0,1,"ar"
1,3,0,3,"ar"
0,3,0,3,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
1,2,0,2,"ar"
0,1,0,1,"ar"
0,7,0,7,"ar"
1,1,0,1,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
0,1,0,1,"ar"
0,1,0,1,"ar"
0,1,0,1,"ar"
0,1,0,1,"ar"
1,1,0,1,"ar"
1,1,0,1,"ar"
0,1,0,1,"ar"
1,20,0,20,"de"
1,1,0,1,"de"
1,13,0,13,"de"
1,8,0,8,"de"
0,2,0,2,"de"
1,1,0,1,"de"
1,2,0,2,"de"
1,4,0,4,"de"
1,1,0,1,"de"
1,3,0,3,"de"
1,7,0,7,"de"
1,2,0,2,"de"
0,1,0,1,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,18,0,18,"de"
1,2,0,2,"de"
1,10,0,10,"de"
1,9,0,9,"de"
1,3,0,3,"de"
1,1,0,1,"de"
1,13,0,13,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,13,0,13,"de"
0,6,0,6,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,14,0,14,"de"
1,1,0,1,"de"
0,2,0,2,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,5,0,5,"de"
1,20,0,20,"de"
0,2,0,2,"de"
0,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
0,2,0,2,"de"
0,2,0,2,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,9,0,9,"de"
0,2,0,2,"de"
0,2,0,2,"de"
1,5,0,5,"de"
0,6,0,6,"de"
0,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
0,3,0,3,"de"
0,2,0,2,"de"
1,1,0,1,"de"
1,2,0,2,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,2,0,2,"de"
1,6,0,6,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,4,0,4,"de"
1,2,0,2,"de"
0,1,0,1,"de"
0,5,0,5,"de"
0,16,0,16,"de"
0,3,0,3,"de"
1,1,0,1,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
1,2,0,2,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,1,1,0,"de"
0,2,0,2,"de"
0,1,0,1,"de"
1,2,0,2,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,3,0,3,"de"
0,5,0,5,"de"
0,14,0,14,"de"
0,1,0,1,"de"
0,2,0,2,"de"
0,4,0,4,"de"
1,5,0,5,"de"
1,1,0,1,"de"
1,2,0,2,"de"
1,7,0,7,"de"
0,2,0,2,"de"
0,1,0,1,"de"
0,1,0,1,"de"
0,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,5,0,5,"de"
1,2,0,2,"de"
1,2,0,2,"de"
1,1,0,1,"de"
1,2,0,2,"de"
1,2,0,2,"de"
1,11,0,11,"de"
1,1,0,1,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,1,0,1,"de"
1,3,0,3,"de"
0,1,0,1,"de"
1,2,0,2,"de"
1,2,0,2,"de"
1,1,0,1,"de"
1,1,0,1,"de"
0,2,0,2,"de"
1,2,0,2,"de"
0,1,0,1,"de"
0,1,0,1,"pl"
1,3,0,3,"pl"
0,2,0,2,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
0,12,0,12,"pl"
0,1,0,1,"pl"
1,7,0,7,"pl"
1,357,0,357,"pl"
1,19,1,18,"pl"
1,30,0,30,"pl"
0,72,0,72,"pl"
0,2,0,2,"pl"
0,5,0,5,"pl"
1,3,0,3,"pl"
1,4,0,4,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,4,0,4,"pl"
0,1,0,1,"pl"
0,3,0,3,"pl"
1,1,0,1,"pl"
0,4,0,4,"pl"
1,4,0,4,"pl"
1,1,0,1,"pl"
1,4,0,4,"pl"
0,10,0,10,"pl"
1,1,0,1,"pl"
0,46,0,46,"pl"
1,3,0,3,"pl"
0,5,0,5,"pl"
0,3,0,3,"pl"
0,2,0,2,"pl"
0,23,0,23,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
0,20,0,20,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
0,17,0,17,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
1,2,0,2,"pl"
0,5,0,5,"pl"
0,3,0,3,"pl"
0,3,0,3,"pl"
0,100,0,100,"pl"
1,5,0,5,"pl"
0,3,0,3,"pl"
1,1,0,1,"pl"
0,3,0,3,"pl"
0,2,0,2,"pl"
0,3,0,3,"pl"
1,90,0,90,"pl"
1,4,0,4,"pl"
0,9,0,9,"pl"
0,4,0,4,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,5,0,5,"pl"
0,2,0,2,"pl"
1,5,1,4,"pl"
1,12,0,12,"pl"
0,5,0,5,"pl"
0,17,0,17,"pl"
1,7,0,7,"pl"
1,1,0,1,"pl"
1,3,0,3,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,7,0,7,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
0,3,0,3,"pl"
0,15,0,15,"pl"
0,2,0,2,"pl"
0,2,0,2,"pl"
1,2,0,2,"pl"
0,1,0,1,"pl"
1,4,0,4,"pl"
1,20,0,20,"pl"
1,2,0,2,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,2,0,2,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
0,5,0,5,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
0,6,0,6,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
0,2,0,2,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
1,4,0,4,"pl"
0,5,0,5,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,3,0,3,"pl"
1,2,0,2,"pl"
1,3,0,3,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,2,0,2,"pl"
0,1,0,1,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,2,0,2,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
0,2,0,2,"pl"
1,3,0,3,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,3,0,3,"pl"
0,3,0,3,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,3,0,3,"pl"
1,2,1,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
0,7,0,7,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
0,5,0,5,"pl"
1,1,0,1,"pl"
1,4,0,4,"pl"
0,2,0,2,"pl"
0,1,0,1,"pl"
1,6,0,6,"pl"
0,1,0,1,"pl"
1,2,0,2,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,6,0,6,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,27,0,27,"pl"
0,1,0,1,"pl"
0,4,0,4,"pl"
0,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,12,0,12,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
1,3,0,3,"pl"
1,1,0,1,"pl"
0,3,0,3,"pl"
1,1,0,1,"pl"
1,3,0,3,"pl"
0,1,0,1,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
0,2,0,2,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
0,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,4,0,4,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,1,0,1,"pl"
1,37,0,37,"fa"
0,109,0,109,"fa"
1,3,0,3,"fa"
1,26,0,26,"fa"
1,18,0,18,"fa"
1,3,0,3,"fa"
0,1,0,1,"fa"
1,2,0,2,"fa"
1,64,0,64,"fa"
1,1,0,1,"fa"
0,8,0,8,"fa"
0,1,0,1,"fa"
0,2,0,2,"fa"
1,1,0,1,"fa"
0,8,0,8,"fa"
1,2,0,2,"fa"
0,2,0,2,"fa"
0,1,0,1,"fa"
1,6,0,6,"fa"
0,2,0,2,"fa"
1,43,0,43,"fa"
0,9,0,9,"fa"
1,4,0,4,"fa"
0,1,0,1,"fa"
1,4,0,4,"fa"
1,1,0,1,"fa"
1,17,1,16,"fa"
1,56,0,56,"fa"
1,4,0,4,"fa"
1,7,0,7,"fa"
1,1,0,1,"fa"
1,1,0,1,"fa"
0,6,0,6,"fa"
1,2,0,2,"fa"
1,7,0,7,"fa"
1,2,0,2,"fa"
0,7,0,7,"fa"
1,10,0,10,"fa"
1,6,0,6,"fa"
1,1,0,1,"fa"
1,4,0,4,"fa"
0,3,0,3,"fa"
1,1,0,1,"fa"
1,2,0,2,"fa"
1,4,0,4,"fa"
1,2,0,2,"fa"
1,1,0,1,"fa"
0,1,0,1,"fa"
1,1,0,1,"fa"
1,1,0,1,"fa"
1,1,0,1,"fa"
0,77,0,77,"fa"
0,5,0,5,"fa"
1,7,0,7,"fa"
1,1,0,1,"fa"
1,3,0,3,"fa"
1,3,0,3,"fa"
1,7,0,7,"fa"
1,13,0,13,"fa"
1,1,0,1,"fa"
1,2,0,2,"fa"
1,2,0,2,"fa"
1,1,0,1,"fa"
1,3,1,2,"fa"
1,8,0,8,"fa"
0,19,0,19,"fa"
1,1,0,1,"fa"
1,16,0,16,"fa"
1,2,0,2,"fa"
1,3,0,3,"fa"
1,2,0,2,"fa"
1,2,0,2,"fa"
1,2,0,2,"fa"
1,1,0,1,"fa"
0,7,0,7,"fa"
0,1,0,1,"fa"
0,3,0,3,"fa"
1,1,0,1,"fa"
1,1,0,1,"fa"
1,1,0,1,"fa"
0,5,0,5,"fa"
1,1,0,1,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,2,0,2,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,4,0,4,"fa"
1,1,0,1,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,4,0,4,"fa"
0,4,0,4,"fa"
1,1,0,1,"fa"
0,4,0,4,"fa"
0,1,0,1,"fa"
0,4,0,4,"fa"
0,2,0,2,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,3,0,3,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
0,1,0,1,"fa"
